stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,location_type,wheelchair_boarding,elevation,TBAR_DES_BARRIO_A,barrio_asignado
451,8301,AUNTZETXETA fte. 18,,43.25805334629039,-2.954200680713995,1,0,1,84.05267333984375,MASUSTEGI-MONTE CARAMELO,MASUSTEGI-MONTE CARAMELO
450,8302,AUNTZETXETA 18,,43.25783518845792,-2.954125357398488,1,0,1,86.08727264404297,MASUSTEGI-MONTE CARAMELO,MASUSTEGI-MONTE CARAMELO
448,8303,AUNTZETXETA 4,,43.258386778544406,-2.955809833387065,1,0,1,81.61894989013672,MASUSTEGI-MONTE CARAMELO,MASUSTEGI-MONTE CARAMELO
449,8304,AUNTZETXETA 7,,43.258432984699226,-2.9558688542713254,1,0,1,80.31291198730469,MASUSTEGI-MONTE CARAMELO,MASUSTEGI-MONTE CARAMELO
446,8305,BASURTUGORTA 1,,43.2559026007969,-2.9539087600691856,1,0,1,63.6159782409668,MASUSTEGI-MONTE CARAMELO,MASUSTEGI-MONTE CARAMELO
433,8306,MONTE KOBETA fte. 41,,43.25687529236792,-2.9602048929065243,1,0,1,188.29345703125,DISEMINADO,DISEMINADO
431,8307,MONTE KOBETA,,43.25581728587305,-2.9597163718914405,1,0,1,184.1980438232422,DISEMINADO,MASUSTEGI-MONTE CARAMELO
461,8308,LEZEAGA 14,,43.25895282703054,-2.956809468524883,1,0,1,70.7288818359375,MASUSTEGI-MONTE CARAMELO,MASUSTEGI-MONTE CARAMELO
460,8309,LEZEAGA 9,,43.25893540261785,-2.9564298735365795,1,0,1,69.297119140625,MASUSTEGI-MONTE CARAMELO,MASUSTEGI-MONTE CARAMELO
429,8310,ESTRADA MASUSTEGI / ESCALERAS,,43.25386485272137,-2.959332534611827,1,0,1,174.7892150878906,DISEMINADO,MASUSTEGI-MONTE CARAMELO
427,8311,ESTRADA MASUSTEGI / ESCUELA,,43.253675138709305,-2.9566594383288747,1,0,1,165.0307464599609,DISEMINADO,MASUSTEGI-MONTE CARAMELO
425,8312,ESTRADA MASUSTEGI / MONTE CARAMELO,,43.252644580031856,-2.955403974503728,1,0,1,151.8164825439453,DISEMINADO,MASUSTEGI-MONTE CARAMELO
